103 	 0 		 S 	 0	 0 	 0 		 (scsi_tmf_1) 		 root 		 0  
106 	 0 		 S 	 0	 0 	 0 		 (ipv6_addrconf) 		 root 		 0  
11 	 -100 		 S 	 0	 0 	 0 		 (watchdog/0) 		 root 		 0  
12 	 20 		 S 	 0	 0 	 0 		 (cpuhp/0) 		 root 		 0  
127 	 0 		 S 	 0	 0 	 0 		 (deferwq) 		 root 		 0  
128 	 0 		 S 	 0	 0 	 0 		 (charger_manager) 		 root 		 0  
129 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
13 	 20 		 S 	 0	 0 	 0 		 (kdevtmpfs) 		 root 		 0  
14 	 0 		 S 	 0	 0 	 0 		 (netns) 		 root 		 0  
15 	 20 		 S 	 0	 0 	 0 		 (khungtaskd) 		 root 		 0  
16 	 20 		 S 	 0	 0 	 0 		 (oom_reaper) 		 root 		 0  
17 	 0 		 S 	 0	 0 	 0 		 (writeback) 		 root 		 0  
18 	 20 		 S 	 0	 0 	 0 		 (kcompactd0) 		 root 		 0  
19 	 25 		 S 	 0	 0 	 0 		 (ksmd) 		 root 		 0  
193 	 0 		 S 	 0	 0 	 6 		 (kworker/0:1H) 		 root 		 0  
194 	 0 		 S 	 0	 0 	 0 		 (kpsmoused) 		 root 		 0  
196 	 20 		 S 	 0	 0 	 0 		 (scsi_eh_2) 		 root 		 0  
197 	 0 		 S 	 0	 0 	 0 		 (scsi_tmf_2) 		 root 		 0  
198 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
20 	 39 		 S 	 0	 0 	 26 		 (khugepaged) 		 root 		 0  
21 	 0 		 S 	 0	 0 	 0 		 (crypto) 		 root 		 0  
22 	 0 		 S 	 0	 0 	 0 		 (kintegrityd) 		 root 		 0  
222 	 20 		 S 	 .10	 0 	 11 		 (jbd2/sda1-8) 		 root 		 0  
223 	 0 		 S 	 0	 0 	 0 		 (ext4-rsv-conver) 		 root 		 0  
23 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
24 	 0 		 S 	 0	 0 	 0 		 (kblockd) 		 root 		 0  
25 	 0 		 S 	 0	 0 	 0 		 (ata_sff) 		 root 		 0  
26 	 0 		 S 	 0	 0 	 0 		 (md) 		 root 		 0  
27 	 0 		 S 	 0	 0 	 0 		 (devfreq_wq) 		 root 		 0  
28 	 0 		 S 	 0	 0 	 0 		 (watchdogd) 		 root 		 0  
30 	 20 		 S 	 0	 0 	 55 		 (kworker/0:1) 		 root 		 0  
32 	 20 		 S 	 0	 0 	 40 		 (kswapd0) 		 root 		 0  
33 	 0 		 S 	 0	 0 	 0 		 (vmstat) 		 root 		 0  
34 	 20 		 S 	 0	 0 	 0 		 (ecryptfs-kthrea) 		 root 		 0  
7 	 20 		 S 	 .50	 0 	 23 		 (rcu_sched) 		 root 		 0  
73 	 0 		 S 	 0	 0 	 0 		 (kthrotld) 		 root 		 0  
74 	 0 		 S 	 0	 0 	 0 		 (acpi_thermal_pm) 		 root 		 0  
76 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
77 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
78 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
79 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
8 	 20 		 S 	 0	 0 	 0 		 (rcu_bh) 		 root 		 0  
80 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
81 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
82 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
83 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
84 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
85 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
86 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
87 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
88 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
89 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
9 	 -100 		 S 	 0	 0 	 0 		 (migration/0) 		 root 		 0  
90 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
91 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
92 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
93 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
94 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
95 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
96 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
97 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
98 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
99 	 0 		 S 	 0	 0 	 0 		 (bioset) 		 root 		 0  
2 	 20 		 S 	 0	 0 	 0 		 (kthreadd) 		 root 		 0  
3 	 20 		 S 	 .30	 0 	 57 		 (ksoftirqd/0) 		 root 		 0  
5 	 0 		 S 	 0	 0 	 0 		 (kworker/0:0H) 		 root 		 0  
1 	 20 		 S 	 0	 2.00 	 11060 		 (systemd) 		 root 		 24092  
